125	1024x768	786432	1233.63		432.115	430.333	307.253	63.9282
125	1600x900	1440000	2391.72		868.873	828.114	577.843	116.888
125	1920x1080	2073600	3411		1197.04	1190.47	853.456	170.038
250	1024x768	786432	2451.72		913.294	889.037	611.797	37.588
250	1600x900	1440000	4317.25		1539.74	1574.55	1124.12	78.8416
250	1920x1080	2073600	6315.87		2214.8	2328.32	1599.11	173.645
500	1024x768	786432	4593.51		1625.07	1717.91	1210.1	40.4254
500	1600x900	1440000	8248.22		2813.63	3138.01	2214.77	81.8038
500	1920x1080	2073600	25621.7		5658.25	12684.1	7138.01	141.36
125	1024x768	786432	1259.69		468.896	427.008	305.648	58.1347
125	1600x900	1440000	2420.52		907.351	849.767	582.955	80.448
125	1920x1080	2073600	3342.17		1187.78	1177	818.469	158.913
250	1024x768	786432	2393.77		850.914	874.26	626.115	42.483
250	1600x900	1440000	4335.57		1544.63	1604.89	1111.69	74.3666
250	1920x1080	2073600	6276.1		2238.91	2342.02	1583.41	111.758
500	1024x768	786432	4635.7		1642.34	1734.05	1213.89	45.4199
500	1600x900	1440000	8460.24		3003.51	3168.81	2210.45	77.4659
500	1920x1080	2073600	13339.8		4748.92	5150.55	3280	160.317
125	1024x768	786432	1273.48		476.174	432.047	309.174	56.0905
125	1600x900	1440000	2451.99		910.388	790.666	636.215	114.724
125	1920x1080	2073600	3259.73		1172.42	1153.79	833.927	99.5875
250	1024x768	786432	2391.98		853.086	892.055	609.161	37.6783
250	1600x900	1440000	4326.46		1541.16	1614.05	1099.7	71.5502
250	1920x1080	2073600	6296.19		2282.49	2311.12	1592.3	110.274
500	1024x768	786432	4523.48		1552.54	1717.05	1211.35	42.533
500	1600x900	1440000	8342.61		2823.97	3201.13	2239.09	78.4228
500	1920x1080	2073600	13667		4467.61	5451.19	3475.54	272.694
1000	1024x768	786432	9619.56		3255.38	3707.64	2596.83	59.7121
125	800x600	480000	511.892		178.612	164.873	147.763	20.6439
