125	1024x768	786432	956.121		222.492	378.201	186.744	168.684
125	1600x900	1440000	1473.94		411.894	689.268	343.207	29.5754
125	1920x1080	2073600	2088.09		572.632	983.189	490.597	41.6699
250	1024x768	786432	1528.44		395.016	747.827	367.033	18.5682
250	1600x900	1440000	2803.11		732.092	1367.43	672.008	31.5828
250	1920x1080	2073600	4007.35		1020.97	1970.36	970.978	45.0436
500	1024x768	786432	3039.63		752.337	1523.97	742.624	20.6997
500	1600x900	1440000	5518.44		1362.51	2762.96	1358.26	34.7134
500	1920x1080	2073600	7943.27		1957.56	3986.91	1949.03	49.7695
750	1024x768	786432	4549.29		1084.18	2318.14	1125.2	21.7622
750	1600x900	1440000	8315.53		1993.32	4238.71	2046.69	36.8151
750	1920x1080	2073600	11930.7		2822.22	6105.4	2951.12	51.9215
125	1024x768	786432	793.039		219.077	373.095	183.599	17.2676
125	1600x900	1440000	1444.69		399.462	682.486	334.312	28.4259
125	1920x1080	2073600	2084.16		564.699	990.872	487.82	40.7637
250	1024x768	786432	1531.85		395.806	748.716	368.298	19.0289
250	1600x900	1440000	2785.51		719.635	1361.66	672.627	31.5903
250	1920x1080	2073600	4014.31		1024.67	1973.85	970.892	44.9054
500	1024x768	786432	3035.13		747.948	1525.1	741.504	20.5762
500	1600x900	1440000	5519.05		1363.97	2769.77	1350.54	34.7612
500	1920x1080	2073600	7938.49		1946.85	3984.13	1957.86	49.6486
750	1024x768	786432	4593.07		1084.82	2337.23	1148.39	22.6294
750	1600x900	1440000	8451.76		2095.9	4273.31	2045.86	36.6918
750	1920x1080	2073600	11929.6		2851.81	6084.84	2941.33	51.6554
125	1024x768	786432	819.516		219.122	382.793	200.433	17.168
125	1600x900	1440000	1503.84		446.145	692.97	335.949	28.7745
125	1920x1080	2073600	2074.1		565.568	979.506	487.622	41.402
250	1024x768	786432	1537.62		397.168	750.667	370.477	19.3088
250	1600x900	1440000	2798.28		726.589	1368.83	670.623	32.2368
250	1920x1080	2073600	4010.01		1023.59	1973.4	968.06	44.9564
500	1024x768	786432	3053.13		751.163	1533.7	747.419	20.8477
500	1600x900	1440000	5533.53		1367.43	2774.91	1355.99	35.2054
500	1920x1080	2073600	7985.86		1955.5	4015.49	1965.1	49.7733
750	1024x768	786432	4550.04		1084.59	2326.14	1117.37	21.9516
750	1600x900	1440000	8272.66		1971.85	4227.2	2036.91	36.6923
750	1920x1080	2073600	11953.6		2846.66	6097	2956.65	53.2468
